fecha,Price,Open,High,Low,Vol.
01/21/2005,48.53,47.30,48.95,47.27,109.39
01/20/2005,46.91,47.60,47.60,46.40,34.82
01/19/2005,47.55,48.36,48.41,47.50,66.70
01/18/2005,48.38,48.60,49.50,47.70,76.81
01/14/2005,48.38,47.87,48.65,47.60,73.82
01/13/2005,48.04,46.50,48.40,46.30,108.48
01/12/2005,46.37,45.73,46.60,45.00,117.37
01/11/2005,45.68,45.23,46.15,44.95,90.54
01/10/2005,45.33,45.60,47.30,45.20,103.57
01/07/2005,45.43,45.50,46.10,44.75,99.73
01/06/2005,45.56,43.39,45.75,42.80,122.41
01/05/2005,43.39,43.90,44.00,42.60,91.01
01/04/2005,43.91,42.18,44.13,41.85,100.67
01/03/2005,42.12,43.10,43.10,41.25,69.48
12/30/2004,43.45,43.61,43.80,42.52,67.36
12/29/2004,43.64,41.81,43.70,41.40,84.05
12/28/2004,41.77,41.25,42.32,41.00,48.61
12/27/2004,41.32,43.87,43.87,41.20,56.52
12/23/2004,44.18,44.18,44.40,43.75,43.83
12/22/2004,44.24,45.75,45.95,43.65,77.63
12/21/2004,45.76,45.65,46.15,45.31,56.91
12/20/2004,45.64,46.20,46.20,44.90,34.84
12/17/2004,46.28,44.10,46.35,43.97,65.28
12/16/2004,44.18,44.30,44.55,43.00,64.60
12/15/2004,44.19,41.80,44.45,41.80,119.63
12/14/2004,41.82,41.12,41.89,40.85,88.75
12/13/2004,41.01,40.90,41.65,40.25,95.85
12/10/2004,40.71,42.50,43.29,40.25,118.14
12/09/2004,42.53,42.05,43.20,41.95,99.43
12/08/2004,41.94,41.41,42.50,40.45,127.25
12/07/2004,41.46,43.10,43.19,41.38,109.07
12/06/2004,42.98,42.50,43.60,42.26,82.61
12/03/2004,42.54,43.33,43.75,42.05,109.16
12/02/2004,43.25,45.49,45.90,42.50,158.72
12/01/2004,45.49,49.07,49.12,45.35,146.70
11/30/2004,49.13,49.65,50.40,48.68,100.73
11/29/2004,49.76,49.40,49.95,49.12,57.76
11/24/2004,49.44,48.84,49.60,47.80,0.02
11/23/2004,48.94,48.48,50.25,48.22,96.05
11/22/2004,48.64,48.80,49.55,48.35,85.97
11/19/2004,48.44,46.20,48.90,46.00,29.94
11/18/2004,46.22,46.75,47.15,45.65,71.12
11/17/2004,46.84,46.16,47.10,45.40,83.14
11/16/2004,46.11,46.89,47.40,46.07,85.98
11/15/2004,46.87,47.11,47.45,45.25,99.07
11/12/2004,47.32,47.55,48.05,47.10,75.00
11/11/2004,47.42,48.80,48.90,47.10,92.98
11/10/2004,48.86,47.35,49.00,46.96,129.90
11/09/2004,47.37,49.02,49.43,47.20,128.89
11/08/2004,49.09,49.60,49.60,48.60,77.26
11/05/2004,49.61,48.81,49.70,48.30,115.77
11/04/2004,48.82,50.88,51.06,48.75,121.09
11/03/2004,50.88,49.61,51.20,48.65,143.70
11/02/2004,49.62,50.19,50.42,49.55,82.75
11/01/2004,50.13,51.82,52.50,49.30,133.14
10/29/2004,51.76,50.85,51.80,50.47,105.37
10/28/2004,50.92,52.45,52.80,50.78,150.85
10/27/2004,52.46,55.18,55.65,52.10,172.52
10/26/2004,55.17,54.49,55.25,53.85,97.02
10/25/2004,54.54,55.05,55.67,54.20,82.51
10/22/2004,55.17,54.50,55.50,54.45,83.30
10/21/2004,54.47,54.27,54.95,54.01,79.23
10/20/2004,54.92,53.29,55.20,53.23,45.91
10/19/2004,53.29,53.64,53.64,52.59,76.47
10/18/2004,53.67,54.80,55.33,53.12,76.10
10/15/2004,54.93,54.71,55.00,54.14,108.85
