fecha,Price,Open,High,Low,Vol.
2016-02-11,26.21,27.34,27.48,26.05,795.97
2016-01-20,26.55,28.33,28.58,26.19,32.11
2016-02-12,29.44,27.3,29.66,26.95,675.16
2016-02-10,27.45,28.36,29.22,27.24,781.28
2016-02-09,27.94,30.17,30.61,27.74,738.22
2016-01-21,29.53,28.35,30.25,27.87,694.04
2016-01-19,28.46,29.2,30.21,28.21,188.03
2016-02-16,29.04,29.08,31.53,28.7,651.96
2016-02-17,30.66,29.14,31.49,28.73,578.64
2016-02-15,30.6,29.08,30.69,28.97,
2016-02-14,29.08,29.06,29.18,28.97,
2016-02-19,29.64,30.6,30.73,29.05,103.2
2016-01-15,29.42,31.18,31.18,29.13,329.09
2016-01-26,31.45,29.81,32.41,29.25,642.43
2016-01-17,29.75,30.68,30.68,29.36,
2016-02-03,32.28,29.75,32.75,29.4,811.7
2016-02-22,31.48,29.72,32.05,29.48,26.32
2016-01-22,32.19,29.84,32.35,29.53,636.57
2016-02-08,29.69,30.97,31.38,29.57,603.65
2016-02-02,29.88,31.37,31.53,29.57,602.56
2016-01-18,30.02,29.76,30.88,29.67,
2016-01-25,30.34,32.05,32.74,29.68,606.89
2016-01-12,30.44,31.11,32.21,29.93,627.22
2016-01-13,30.48,30.54,31.71,30.1,637.9
2016-01-27,32.3,30.55,32.84,30.14,738.55
2016-02-18,30.77,31.35,31.98,30.27,225.5
2016-01-14,31.2,30.6,31.77,30.28,537.91
2016-02-24,32.15,31.28,32.4,30.56,652.25
2016-02-05,30.89,31.64,32.45,30.63,616.53
2016-01-11,31.41,32.94,33.2,30.88,648.64
2016-02-25,33.07,32.19,33.49,31.07,611.87
2016-02-23,31.87,33.34,33.53,31.22,539.38
2016-02-01,31.62,33.83,34.18,31.29,595.61
2016-02-04,31.72,32.71,33.6,31.53,696.72
2016-01-28,33.22,32.19,34.82,31.74,833.38
2016-01-07,33.27,34.09,34.26,32.1,617.41
2016-02-29,33.75,32.72,33.98,32.32,512.47
2016-02-26,32.78,33.04,34.69,32.64,646.29
2016-01-08,33.16,33.3,34.34,32.64,596.5
2016-01-29,33.62,33.7,34.4,32.65,618.11
2016-03-01,34.4,33.9,34.76,33.37,566.23
2016-03-02,34.66,33.89,35.17,33.55,597.83
2016-01-06,33.97,36.18,36.39,33.77,563.81
2015-12-21,34.74,34.58,34.86,33.98,27.29
2016-03-03,34.57,34.73,35.32,34.19,512.96
2015-12-18,34.73,34.87,35.57,34.29,116.04
2016-03-04,35.92,34.66,36.34,34.4,578.29
2015-12-14,36.31,35.4,36.7,34.53,550.48
2015-12-17,34.95,35.8,35.84,34.63,196.23
2015-12-11,35.62,36.63,36.84,35.16,505.41
2016-04-05,35.89,35.5,36.58,35.24,485.54
2015-12-16,35.52,36.79,37.35,35.29,402.97
2016-04-04,35.7,36.61,37.21,35.46,549.48
2015-12-22,36.14,35.8,36.54,35.66,302.26
2016-01-05,35.97,36.9,37.1,35.74,410.13
2016-03-15,36.34,37.37,37.4,35.96,446.1
2015-12-15,37.35,36.32,37.88,36.03,474.16
2016-03-07,37.9,36.2,38.11,36.09,709.87
2016-03-08,36.5,37.94,38.39,36.12,706.93
2015-12-31,37.04,36.81,37.79,36.22,283.62
2016-03-09,38.29,36.36,38.51,36.24,740.63
2015-12-23,37.5,36.47,37.95,36.28,374.66
2016-01-04,36.76,37.6,38.39,36.33,431.99
2015-12-10,36.76,37.27,37.54,36.38,513.94
2015-12-30,36.6,37.36,37.4,36.4,267.91
2016-04-06,37.75,36.52,37.9,36.43,751.05
2015-12-28,36.81,38.0,38.09,36.6,220.64
2016-03-16,38.46,36.74,38.63,36.61,494.17
2016-04-01,36.79,38.14,38.56,36.63,547.19
2015-12-08,37.51,37.68,38.58,36.64,767.18
2015-12-29,37.87,36.7,37.94,36.66,241.95
2016-03-14,37.18,38.17,38.77,36.68,489.94
2016-04-07,37.26,37.76,38.3,36.69,626.75
2015-12-09,37.16,37.86,38.99,36.87,646.17
2016-03-10,37.84,38.17,38.48,37.21,701.44
2015-12-24,38.1,37.86,38.28,37.38,205.87
2016-04-08,39.72,37.52,39.84,37.45,817.23
2015-12-07,37.65,40.1,40.15,37.5,635.41
2016-03-31,38.34,38.3,39.04,37.57,532.15
2016-04-18,39.78,38.75,40.24,37.61,342.46
2015-08-24,38.24,40.3,40.47,37.75,468.37
2016-03-29,38.28,39.32,39.48,37.91,488.03
2016-03-11,38.5,37.99,39.02,37.92,564.79
2016-03-30,38.32,38.52,39.85,38.14,542.47
2015-08-25,39.31,38.18,39.89,38.16,375.65
2016-03-24,39.46,39.73,39.77,38.33,495.17
2016-03-17,40.2,38.59,40.36,38.47,298.01
2015-08-26,38.6,39.69,39.86,38.52,368.72
2016-03-21,39.91,39.06,40.3,38.61,31.92
2016-03-28,39.39,39.55,40.14,38.86,299.78
2015-08-27,42.56,38.96,42.86,38.95,533.68
2015-11-20,40.39,40.54,40.99,38.99,33.71
2016-03-18,39.44,40.25,41.2,39.15,130.15
2016-08-03,40.83,39.7,41.2,39.19,655.19
2016-04-11,40.36,39.72,40.75,39.25,679.35
2016-08-02,39.51,40.08,40.91,39.26,534.51
2016-04-19,41.08,40.04,41.53,39.58,101.73
2015-12-04,39.97,41.31,42.0,39.6,510.76
2016-03-23,39.79,41.19,41.34,39.67,492.0
2016-08-01,40.06,41.35,41.88,39.82,533.02
2015-12-02,39.94,41.69,41.97,39.84,545.29
2016-04-20,42.63,40.8,42.91,39.85,30.09
2015-08-21,40.45,41.03,41.4,39.86,377.18
2015-11-19,40.54,40.72,41.05,39.89,131.36
2015-11-18,40.75,41.11,41.55,39.91,251.52
2016-04-15,40.36,41.43,41.73,39.98,520.15
