fecha,Price,Open,High,Low,Vol.
12/30/2005,61.04,60.39,61.25,59.73,72.71
12/29/2005,60.32,59.89,60.85,59.40,64.92
12/28/2005,59.82,58.19,60.45,57.76,87.69
12/27/2005,58.16,58.30,58.30,57.30,55.48
12/23/2005,58.43,58.26,58.75,57.65,37.52
12/22/2005,58.28,58.60,59.29,57.72,60.47
12/21/2005,58.56,58.30,58.70,57.55,84.51
12/20/2005,57.98,57.30,58.20,57.30,36.14
12/19/2005,57.34,58.00,58.59,56.90,74.14
12/16/2005,58.06,59.90,60.09,58.00,91.10
12/15/2005,59.99,60.85,61.20,59.95,100.83
12/14/2005,60.85,61.28,61.75,60.80,84.31
12/13/2005,61.37,61.29,61.90,60.76,102.19
12/12/2005,61.30,59.51,61.35,59.50,113.72
12/09/2005,59.39,60.76,61.50,59.03,123.43
12/08/2005,60.66,59.35,60.70,59.05,104.85
12/07/2005,59.21,60.01,60.68,59.11,129.03
12/06/2005,59.94,59.77,60.45,59.55,80.40
12/05/2005,59.91,59.41,60.80,59.41,106.59
12/02/2005,59.32,58.47,59.55,58.15,114.72
12/01/2005,58.47,57.40,58.80,57.02,112.88
11/30/2005,57.32,56.35,57.40,55.72,131.18
11/29/2005,56.50,57.31,57.75,56.45,98.13
11/28/2005,57.36,58.11,58.30,56.70,98.71
11/23/2005,58.71,58.75,59.15,57.95,87.14
11/22/2005,58.84,57.80,59.00,57.55,81.62
11/21/2005,57.70,57.42,58.18,57.10,68.60
11/18/2005,56.14,56.54,56.80,55.40,38.31
11/17/2005,56.34,57.82,58.52,56.20,90.17
11/16/2005,57.88,56.98,58.25,56.70,81.91
11/15/2005,56.98,57.72,58.40,56.90,102.69
11/14/2005,57.69,57.80,58.20,57.35,68.82
11/11/2005,57.53,57.77,58.20,56.93,100.71
11/10/2005,57.80,58.80,58.96,57.40,104.74
11/09/2005,58.93,59.70,60.40,58.60,133.27
11/08/2005,59.71,59.47,59.85,58.90,99.62
11/07/2005,59.47,60.11,60.44,58.60,126.39
11/04/2005,60.58,61.75,62.15,60.50,92.74
11/03/2005,61.78,59.70,61.85,59.56,100.01
11/02/2005,59.75,59.90,60.40,58.75,97.86
11/01/2005,59.85,59.76,60.30,59.05,95.97
10/31/2005,59.76,61.20,61.39,59.27,103.82
10/28/2005,61.22,61.10,61.48,60.55,89.73
10/27/2005,61.09,60.88,61.50,60.25,99.58
10/26/2005,60.66,62.30,62.95,60.60,109.99
10/25/2005,62.44,60.23,62.55,59.98,101.67
10/24/2005,60.32,60.06,60.50,59.30,78.77
10/21/2005,60.63,59.85,60.70,59.15,103.72
