fecha,Price,Open,High,Low,Vol.,Change
01/21/2005,50.44,50.80,51.55,50.44,13.34,-0.55
01/20/2005,50.72,50.65,50.93,50.35,11.44,-0.65
01/19/2005,51.05,51.45,51.49,51.00,9.32,-0.87
01/18/2005,51.50,50.95,51.50,50.90,13.95,0.84
01/14/2005,51.07,50.56,51.21,50.52,11.00,1.03
01/13/2005,50.55,50.59,51.00,50.40,11.34,-0.08
01/12/2005,50.59,50.05,50.63,49.82,13.33,1.48
01/11/2005,49.85,49.83,50.15,49.63,9.11,-0.26
01/10/2005,49.98,49.86,50.50,49.81,11.28,0.38
01/07/2005,49.79,50.12,50.26,49.52,11.32,-0.66
01/06/2005,50.12,49.30,50.19,49.25,12.94,1.27
01/05/2005,49.49,49.83,50.11,49.45,12.16,-0.52
01/04/2005,49.75,50.34,50.60,49.68,15.05,-0.68
01/03/2005,50.09,51.02,51.02,49.87,15.91,-2.28
12/31/2004,51.26,51.01,51.40,51.00,8.47,0.45
12/30/2004,51.03,51.13,51.40,51.02,6.55,-0.20
12/29/2004,51.13,50.81,51.18,50.80,9.09,0.16
12/28/2004,51.05,51.02,51.40,51.00,11.06,0.33
12/27/2004,50.88,51.80,51.95,50.86,12.12,-2.10
12/23/2004,51.97,51.25,52.05,51.17,12.52,1.33
12/22/2004,51.29,51.52,51.70,50.75,11.51,-0.77
12/21/2004,51.69,51.23,51.74,50.86,13.54,1.23
12/20/2004,51.06,50.05,51.16,50.00,16.26,2.53
12/17/2004,49.80,49.65,50.34,49.64,30.72,-0.60
12/16/2004,50.10,50.48,50.48,49.65,11.86,-0.81
12/15/2004,50.51,50.55,50.68,50.32,12.51,-0.30
12/14/2004,50.66,50.40,50.80,50.38,9.54,-0.02
12/13/2004,50.67,50.45,50.68,50.35,11.71,1.04
12/10/2004,50.15,50.30,50.45,49.89,10.93,-0.34
12/09/2004,50.32,49.90,50.32,49.35,14.63,0.60
12/08/2004,50.02,49.36,50.08,48.90,13.37,0.64
12/07/2004,49.70,50.14,50.30,49.50,12.11,-0.88
12/06/2004,50.14,50.28,50.47,49.92,10.12,-0.26
12/03/2004,50.27,49.70,50.44,49.60,13.22,0.20
12/02/2004,50.17,50.70,50.88,49.94,15.97,-1.92
12/01/2004,51.15,51.26,51.70,50.84,13.71,-0.20
11/30/2004,51.25,51.21,51.72,51.21,12.85,-0.23
11/29/2004,51.37,51.68,51.78,50.82,10.09,-0.54
11/26/2004,51.65,51.59,52.00,51.59,4.50,0.31
11/24/2004,51.49,51.20,51.50,51.06,9.62,0.57
11/23/2004,51.20,50.91,51.27,50.87,14.18,0.57
11/22/2004,50.91,50.38,50.97,50.30,11.66,1.05
11/19/2004,50.38,50.10,50.40,49.99,13.99,0.66
11/18/2004,50.05,50.13,50.17,49.80,9.06,0.10
11/17/2004,50.00,49.60,50.15,49.56,11.50,1.19
11/16/2004,49.41,49.50,49.92,49.40,9.99,-0.34
11/15/2004,49.58,50.13,50.18,49.16,12.71,-1.67
11/12/2004,50.42,49.50,50.50,49.43,11.40,1.53
11/11/2004,49.66,49.55,49.77,49.31,8.79,-0.02
11/10/2004,49.67,49.31,49.74,48.90,11.96,0.73
11/09/2004,49.31,49.81,49.95,49.26,12.22,-1.71
11/08/2004,50.17,50.35,50.45,49.96,11.71,-0.44
11/05/2004,50.39,50.00,50.43,49.76,14.23,0.40
11/04/2004,50.19,49.48,50.20,49.45,15.52,1.87
11/03/2004,49.27,49.00,49.40,48.58,12.99,1.73
11/02/2004,48.43,48.56,48.93,48.25,11.97,-0.80
11/01/2004,48.82,49.40,49.50,48.51,13.78,-0.81
10/29/2004,49.22,48.32,49.25,48.32,14.36,1.25
10/28/2004,48.61,48.60,49.10,48.25,18.31,-0.69
10/27/2004,48.95,49.35,49.38,48.50,13.58,-0.89
10/26/2004,49.39,48.74,49.39,48.70,12.63,1.19
10/25/2004,48.81,48.60,49.08,48.52,10.41,0.23
10/22/2004,48.70,48.89,49.30,48.63,10.04,-0.23
10/21/2004,48.81,48.85,49.09,48.50,11.13,-0.12
10/20/2004,48.87,48.30,48.98,48.25,12.26,1.16
10/19/2004,48.31,48.50,48.84,48.23,11.43,-0.90
10/18/2004,48.75,48.80,49.16,48.70,9.20,-0.55
10/15/2004,49.02,48.95,49.20,48.65,11.02,0.64
10/14/2004,48.71,48.54,49.13,48.53,11.67,0.47
10/13/2004,48.48,48.95,48.96,48.18,14.66,-1.80
10/12/2004,49.37,49.55,49.88,49.33,9.85,-0.84
10/11/2004,49.79,50.00,50.04,49.41,7.52,-0.10
10/08/2004,49.84,49.80,50.24,49.74,10.56,0.20
