Date,Price,PriceD,Open,OpenD,High,HighD,Low,LowD,Vol.,Change 
01/21/2005,1,168.50,1,177.25,1,180.75,1,167.25,900.21,-0.68
01/20/2005,1,176.50,1,181.50,1,183.00,1,174.00,929.79,-0.59
01/19/2005,1,183.50,1,196.00,1,197.25,1,183.25,730.23,-1.02
01/18/2005,1,195.75,1,185.00,1,197.75,1,180.50,777.66,1.01
01/14/2005,1,183.75,1,178.25,1,186.75,1,176.75,518.75,0.49
01/13/2005,1,178.00,1,187.75,1,190.25,1,176.25,727.58,-0.80
01/12/2005,1,187.50,1,186.00,1,189.75,1,176.75,948.46,0.30
01/11/2005,1,184.00,1,191.25,1,192.75,1,181.75,759.23,-0.65
01/10/2005,1,191.75,1,187.00,1,196.75,1,185.25,727.78,0.46
01/07/2005,1,186.25,1,188.50,1,194.50,1,183.50,766.20,-0.17
01/06/2005,1,188.25,1,183.25,1,193.75,1,182.75,678.41,0.42
01/05/2005,1,183.25,1,190.75,1,195.00,1,182.75,855.69,-0.65
01/04/2005,1,191.00,1,206.25,1,209.50,1,186.75,869.56,-1.26
01/03/2005,1,206.25,1,213.50,1,221.25,1,201.75,672.36,-0.62
12/31/2004,1,213.75,1,214.75,1,219.75,1,210.75,246.15,-0.08
12/30/2004,1,214.75,1,216.75,1,219.00,1,213.50,210.32,-0.18
12/29/2004,1,217.00,1,215.50,1,217.25,1,212.75,210.24,0.12
12/28/2004,1,215.50,1,208.50,1,216.75,1,207.75,251.11,0.58
12/27/2004,1,208.50,1,212.25,1,217.00,1,207.25,297.07,-0.27
12/23/2004,1,211.75,1,210.75,1,216.50,1,209.00,268.93,0.06
12/22/2004,1,211.00,1,207.25,1,214.25,1,206.75,401.65,0.25
12/21/2004,1,208.00,1,198.50,1,208.50,1,197.25,451.96,0.77
12/20/2004,1,198.75,1,197.50,1,206.75,1,195.25,494.26,0.70
12/17/2004,1,190.45,1,203.50,1,206.75,1,193.50,6.22,-1.15
12/16/2004,1,204.25,1,204.75,1,208.25,1,198.00,56.44,-0.04
12/15/2004,1,204.75,1,204.25,1,207.00,1,199.00,53.34,0.06
12/14/2004,1,204.00,1,199.75,1,205.75,1,197.00,122.64,0.31
12/13/2004,1,200.25,1,189.50,1,200.50,1,189.50,91.35,0.88
12/10/2004,1,189.75,1,188.50,1,192.00,1,184.75,233.89,0.11
12/09/2004,1,188.50,1,183.50,1,191.50,1,173.50,321.64,0.38
12/08/2004,1,184.00,1,177.25,1,184.75,1,176.00,691.27,0.53
12/07/2004,1,177.75,1,189.25,1,193.50,1,177.00,802.91,-0.97
12/06/2004,1,189.25,1,189.25,1,193.25,1,185.25,456.19,0.00
12/03/2004,1,189.25,1,193.75,1,198.50,1,185.75,827.49,-0.10
12/02/2004,1,190.50,1,189.50,1,195.75,1,187.00,716.56,0.06
12/01/2004,1,189.75,1,175.50,1,192.25,1,175.00,707.87,1.34
11/30/2004,1,174.00,1,176.50,1,179.50,1,173.00,687.32,-0.17
11/29/2004,1,176.00,1,180.50,1,191.25,1,172.25,812.90,-0.40
11/26/2004,1,180.75,1,182.00,1,187.50,1,179.25,179.48,-0.11
11/24/2004,1,182.00,1,178.75,1,183.25,1,178.00,428.30,0.23
11/23/2004,1,179.25,1,178.00,1,180.50,1,171.50,635.02,0.11
11/22/2004,1,178.00,1,172.00,1,179.00,1,166.50,531.35,0.49
11/19/2004,1,172.25,1,185.00,1,185.75,1,169.25,723.84,-1.08
11/18/2004,1,185.00,1,184.00,1,186.25,1,180.50,527.78,0.06
11/17/2004,1,184.25,1,177.50,1,189.75,1,177.25,831.38,0.57
11/16/2004,1,177.50,1,185.25,1,185.75,1,175.75,658.44,-0.72
11/15/2004,1,186.00,1,183.00,1,186.00,1,180.50,625.70,0.27
11/12/2004,1,182.75,1,173.25,1,184.75,1,171.75,676.26,0.77
11/11/2004,1,173.75,1,165.00,1,176.00,1,163.00,548.87,0.77
11/10/2004,1,164.75,1,164.50,1,170.50,1,162.75,694.10,0.04
11/09/2004,1,164.25,1,166.50,1,170.00,1,162.75,589.79,-0.19
11/08/2004,1,166.50,1,167.00,1,167.50,1,162.25,439.65,-0.11
11/05/2004,1,167.75,1,160.50,1,171.75,1,158.25,833.45,0.62
11/04/2004,1,160.50,1,144.25,1,162.00,1,142.00,897.59,1.35
11/03/2004,1,145.00,1,130.50,1,149.00,1,127.25,981.51,1.28
11/02/2004,1,130.50,1,130.75,1,141.00,1,127.75,831.11,-0.02
11/01/2004,1,130.75,1,127.50,1,134.00,1,126.25,494.67,0.04
10/29/2004,1,130.25,1,127.75,1,132.00,1,124.50,556.56,0.24
10/28/2004,1,127.50,1,124.00,1,131.25,1,120.25,664.43,0.24
10/27/2004,1,124.75,1,111.00,1,126.75,1,106.75,963.33,1.19
10/26/2004,1,111.50,1,095.50,1,112.00,1,094.50,806.76,1.48
10/25/2004,1,095.25,1,095.50,1,097.00,1,088.00,735.24,-0.07
10/22/2004,1,096.00,1,106.25,1,109.75,1,094.75,664.67,-1.06
10/21/2004,1,107.75,1,101.75,1,109.25,1,098.00,813.59,0.54
10/20/2004,1,101.75,1,103.50,1,104.25,1,093.75,863.73,-0.16
10/19/2004,1,103.50,1,113.50,1,118.50,1,102.00,854.83,-0.85
10/18/2004,1,113.00,1,108.75,1,115.25,1,102.50,660.61,0.43
10/15/2004,1,108.25,1,103.00,1,113.75,1,102.00,774.42,0.48
10/14/2004,1,103.00,1,112.00,1,115.50,1,102.00,830.88,-0.83
10/13/2004,1,112.25,1,123.50,1,127.50,1,109.50,785.66,-0.91
10/12/2004,1,122.50,1,125.75,1,126.75,1,116.00,712.79,-0.31
10/11/2004,1,126.00,1,122.00,1,127.00,1,122.00,285.97,0.36
10/08/2004,1,122.00,1,131.50,1,136.00,1,120.25,718.78,-0.84
10/07/2004,1,131.50,1,143.00,1,143.00,1,130.50,551.06,-0.98
10/06/2004,1,142.75,1,135.75,1,143.75,1,133.50,590.81,0.55
10/05/2004,1,136.50,1,135.25,1,140.00,1,132.25,531.19,0.09
10/04/2004,1,135.50,1,131.50,1,141.25,1,131.00,570.06,0.20
10/01/2004,1,133.25,1,114.75,1,133.50,1,111.75,679.87,1.64
09/30/2004,1,115.00,1,115.25,1,117.00,1,109.50,593.43,-0.02
09/29/2004,1,115.25,1,109.75,1,115.50,1,107.25,575.67,0.50
09/28/2004,1,109.75,1,105.25,1,112.50,1,101.25,661.46,0.41
09/27/2004,1,105.25,1,111.25,1,114.00,1,103.25,547.65,-0.56
