fecha,Price,Open,High,Low,Change
01/21/2005,83.26,83.83,84.00,83.18,-0.69
01/20/2005,83.84,83.58,83.99,83.40,0.29
01/19/2005,83.60,83.47,83.77,82.88,0.29
01/18/2005,83.36,83.55,83.66,83.14,0.36
01/17/2005,83.06,82.93,83.14,82.83,0.00
01/14/2005,83.06,82.47,83.31,82.43,0.67
01/13/2005,82.51,82.21,82.52,82.14,0.45
01/12/2005,82.14,83.07,83.26,82.00,-1.06
01/11/2005,83.02,83.20,83.25,82.78,-0.32
01/10/2005,83.29,83.49,83.61,83.13,-0.38
01/07/2005,83.61,83.07,83.79,82.61,0.55
01/06/2005,83.15,82.45,83.23,82.43,0.74
01/05/2005,82.54,82.49,82.92,82.30,-0.04
01/04/2005,82.57,81.36,82.71,81.18,1.56
01/03/2005,81.30,81.05,81.76,80.77,0.56
12/31/2004,80.85,80.64,81.11,80.39,0.40
12/30/2004,80.53,80.87,81.00,80.42,-0.54
12/29/2004,80.97,80.83,81.18,80.58,0.31
12/28/2004,80.72,80.67,80.89,80.54,0.00
12/27/2004,80.72,81.28,81.37,80.54,-0.62
12/24/2004,81.22,81.36,81.45,81.14,-0.15
12/23/2004,81.34,81.95,81.96,81.30,-0.72
12/22/2004,81.93,81.91,82.12,81.73,-0.01
12/21/2004,81.94,81.69,81.99,81.58,0.33
12/20/2004,81.67,82.04,82.13,81.54,-0.60
12/17/2004,82.16,82.42,82.54,82.01,-0.41
12/16/2004,82.50,81.65,82.67,81.38,01.07
12/15/2004,81.63,82.30,82.56,81.42,-0.84
12/14/2004,82.32,82.15,82.57,82.05,0.27
12/13/2004,82.10,82.67,82.74,82.06,-0.55
12/10/2004,82.55,82.17,83.18,82.08,0.63
12/09/2004,82.03,81.82,82.48,81.74,0.16
12/08/2004,81.90,81.25,82.73,81.21,0.81
12/07/2004,81.24,81.40,81.43,80.92,-0.05
12/06/2004,81.28,80.96,81.30,80.91,0.37
12/03/2004,80.98,81.99,82.08,80.94,-1.18
12/02/2004,81.95,81.45,82.13,81.18,0.48
12/01/2004,81.56,81.81,81.88,81.55,-0.32
11/30/2004,81.82,82.03,82.22,81.57,-0.13
11/29/2004,81.93,81.93,82.16,81.78,0.18
11/26/2004,81.78,81.78,82.42,81.53,-0.49
11/25/2004,82.18,82.28,82.46,82.01,-0.28
11/24/2004,82.41,82.90,82.96,82.36,-0.67
11/23/2004,82.97,83.17,83.54,82.81,-0.26
11/22/2004,83.19,83.27,83.39,83.08,-0.14
11/19/2004,83.31,83.87,83.91,83.01,-0.45
11/18/2004,83.69,83.32,83.90,83.10,0.48
11/17/2004,83.29,83.83,83.88,83.26,-0.61
11/16/2004,83.80,84.03,84.10,83.62,-0.24
